Date,Time,ModelName,ModelCode,Defects,Result,PoseNumber
06-05-2025 00:00:00,06-05-2025 09:57:21,HONDA350,"nocodefound",["Unable to locate ROI","#C126"],False,3
06-05-2025 00:00:00,06-05-2025 09:57:21,HONDA350,"nocodefound",["Unable to locate ROI","#C115","#C110","#C47","#C105"],False,4
06-05-2025 00:00:00,06-05-2025 09:57:22,HONDA350,"nocodefound",["Unable to locate ROI","#R66","#C16","#L14"],False,5
06-05-2025 00:00:00,06-05-2025 09:57:22,HONDA350,"nocodefound",["#C10"],False,6
06-05-2025 00:00:00,06-05-2025 09:57:23,HONDA350,"nocodefound",["#C46","#C17"],False,7
06-05-2025 00:00:00,06-05-2025 09:57:23,HONDA350,"nocodefound",["Unable to locate ROI","#C102","#C122"],False,8
06-05-2025 00:00:00,06-05-2025 12:26:51,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],False,2
06-05-2025 00:00:00,06-05-2025 12:26:51,HONDA350,"20002953-000707-1225-Rev-001",["#C126","#X1"],True,3
06-05-2025 00:00:00,06-05-2025 12:26:52,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,4
06-05-2025 00:00:00,06-05-2025 12:26:52,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],False,5
06-05-2025 00:00:00,06-05-2025 12:26:52,HONDA350,"20002953-000707-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],False,6
06-05-2025 00:00:00,06-05-2025 12:26:53,HONDA350,"20002953-000707-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,7
06-05-2025 00:00:00,06-05-2025 12:26:53,HONDA350,"20002953-000707-1225-Rev-001",["#C122","#C102"],False,8
06-05-2025 00:00:00,06-05-2025 12:26:54,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],True,9
06-05-2025 00:00:00,06-05-2025 12:26:54,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#C117"],False,10
